,word,score,pvalue
278,chính,935.8698472274294,1.5642792970400573e-205
812,hãng,788.7708987045053,1.491047102404971e-173
262,chuẩn,249.02326480010905,4.2401224191302515e-56
647,giả,87.58185474251049,8.0863086436261e-21
1237,mã_vạch,70.68267668677505,4.1956047710700253e-17
2565,đúng,62.333798211830995,2.8990670699076462e-15
1876,tem,59.13761027493688,1.4702214303922553e-14
238,chinh,53.96844279336082,2.0373565757064877e-13
232,check,50.56960609727003,1.1501246434334845e-12
821,hình,44.14354606643043,3.051562630870274e-11
2296,uy_tín,34.77872465151154,3.6938814777632776e-09
1188,mik,34.72307692307692,3.8009907570184546e-09
2665,ưa,34.72307692307692,3.8009907570184546e-09
1262,mạng,34.72307692307692,3.8009907570184546e-09
801,hàng,32.467441724728545,1.212062238381823e-08
1251,mô_tả,27.503209388455296,1.5683403675914228e-07
2470,yên_tâm,24.695093009781534,6.71549376100231e-07
104,bát,21.83458414278087,2.9719473455184816e-06
2506,đem,21.83458414278087,2.9719473455184816e-06
2194,tìm,21.83458414278087,2.9719473455184816e-06
1348,ngoai,21.83458414278087,2.9719473455184816e-06
777,hoá_đơn,21.83458414278087,2.9719473455184816e-06
2595,đầy_đủ,19.0250604955523,1.2901290373656247e-05
1430,nhám,17.36153846153846,3.090164449753284e-05
1215,mooney,17.36153846153846,3.090164449753284e-05
1965,thù,17.36153846153846,3.090164449753284e-05
419,cũ_kỹ,17.36153846153846,3.090164449753284e-05
263,chuẩn_bị,17.36153846153846,3.090164449753284e-05
726,healthcare,17.36153846153846,3.090164449753284e-05
2299,vali,17.36153846153846,3.090164449753284e-05
1451,nhăn_nheo,17.36153846153846,3.090164449753284e-05
253,chuan,17.36153846153846,3.090164449753284e-05
876,hỏi_thăm,17.36153846153846,3.090164449753284e-05
2292,up,17.36153846153846,3.090164449753284e-05
2055,tiết,17.36153846153846,3.090164449753284e-05
65,bjo,17.36153846153846,3.090164449753284e-05
477,dad,17.36153846153846,3.090164449753284e-05
144,bạch,17.36153846153846,3.090164449753284e-05
2071,to_con,17.36153846153846,3.090164449753284e-05
1221,munich,17.36153846153846,3.090164449753284e-05
1384,ngồi,17.36153846153846,3.090164449753284e-05
2501,đa_phần,17.36153846153846,3.090164449753284e-05
2096,troc,17.36153846153846,3.090164449753284e-05
2495,úc,17.36153846153846,3.090164449753284e-05
548,dản,17.36153846153846,3.090164449753284e-05
1340,nghiên_cứu,17.36153846153846,3.090164449753284e-05
1326,ncl,17.36153846153846,3.090164449753284e-05
2473,yến,17.36153846153846,3.090164449753284e-05
80,book,17.36153846153846,3.090164449753284e-05
146,bạn_bè,17.36153846153846,3.090164449753284e-05
11,all,17.36153846153846,3.090164449753284e-05
2466,yks,17.36153846153846,3.090164449753284e-05
813,hãnh,17.36153846153846,3.090164449753284e-05
361,code,17.36153846153846,3.090164449753284e-05
1062,loay_hoay,17.36153846153846,3.090164449753284e-05
1160,lựa,17.36153846153846,3.090164449753284e-05
20,apply,17.36153846153846,3.090164449753284e-05
1791,siu,17.36153846153846,3.090164449753284e-05
2328,vui_tính,17.36153846153846,3.090164449753284e-05
1698,quỷ,17.36153846153846,3.090164449753284e-05
858,hảng,17.36153846153846,3.090164449753284e-05
1691,quét,17.36153846153846,3.090164449753284e-05
1785,similac,17.36153846153846,3.090164449753284e-05
574,dục,17.36153846153846,3.090164449753284e-05
1662,ps,17.36153846153846,3.090164449753284e-05
43,barcode,17.36153846153846,3.090164449753284e-05
1661,promotion,17.36153846153846,3.090164449753284e-05
1655,picnic,17.36153846153846,3.090164449753284e-05
1651,phụ,17.36153846153846,3.090164449753284e-05
351,chửi,17.36153846153846,3.090164449753284e-05
1904,thiec,17.36153846153846,3.090164449753284e-05
1905,thien,17.36153846153846,3.090164449753284e-05
993,kén,17.36153846153846,3.090164449753284e-05
1614,phao,15.41913704372721,8.611180527597724e-05
958,khỏi,11.707617668109469,0.0006224475775210766
1856,sợ,11.707617668109469,0.0006224475775210766
1306,một_chút,11.59290821717051,0.0006620379883098093
383,cung_cấp,11.59290821717051,0.0006620379883098093
1734,rõ_ràng,11.59290821717051,0.0006620379883098093
314,chậu,11.59290821717051,0.0006620379883098093
1193,miêu_tả,11.59290821717051,0.0006620379883098093
720,hang,11.322286421129235,0.0007658235803376738
2651,đỡ,10.176377764902355,0.0014225136227728513
660,giống,9.974025320305271,0.0015876401684576298
1769,se,9.837440971867201,0.0017099521710546028
1578,nội_địa,9.061288526862297,0.0026107793045334142
1514,nsx,9.061288526862297,0.0026107793045334142
2397,xa,8.959858345104248,0.0027597629115013755
109,bé,8.26772651423687,0.004035600953679014
1964,thông_tin,7.8472080286708294,0.005089925290947399
2083,tra,7.709568521863605,0.005492887943441975
135,bú,7.709568521863605,0.005492887943441975
356,cn,7.709568521863605,0.005492887943441975
1041,lg,7.709568521863605,0.005492887943441975
2233,tạm_thời,7.709568521863605,0.005492887943441975
1154,lợi,7.709568521863605,0.005492887943441975
1746,rẽ,7.709568521863605,0.005492887943441975
321,chặt,7.709568521863605,0.005492887943441975
1838,sản_phẩm_tra,7.709568521863605,0.005492887943441975
1667,qr,7.709568521863605,0.005492887943441975
704,gỏi,7.709568521863605,0.005492887943441975
1961,thông_minh,7.709568521863605,0.005492887943441975
1366,ngày_mai,7.709568521863605,0.005492887943441975
2027,tich,7.709568521863605,0.005492887943441975
2183,tàu_hoả,7.709568521863605,0.005492887943441975
345,chủ_nhật,7.709568521863605,0.005492887943441975
2455,xếp,7.709568521863605,0.005492887943441975
41,bao_lâu,7.709568521863605,0.005492887943441975
2433,xác_nhận,7.709568521863605,0.005492887943441975
859,hầm,7.709568521863605,0.005492887943441975
631,giá_cạnh_tranh,7.709568521863605,0.005492887943441975
515,dài_dài,7.544314554150621,0.006019971832907928
1422,nhà,7.43021710234825,0.006413760344756809
2032,tikinow,7.2694454858389275,0.007013745365700904
2498,ăn,7.2694454858389275,0.007013745365700904
2245,tắm,7.2694454858389275,0.007013745365700904
535,dùng,7.074598761023516,0.00781843275352676
629,giá,7.060370147736339,0.007880771302797731
2039,tin_tưởng,6.944519614191744,0.008407641265472016
567,dịch_vụ,6.9293889097167805,0.008479065520537987
2236,tả,6.679341850338067,0.009753663141521447
1983,thấm,6.501071914892211,0.010780947623223633
2694,ủng_hộ,6.207050262932614,0.012724248317939677
838,hút,6.047986111584473,0.013922167073421358
1437,nhãn,5.939962850618589,0.01480133066322748
178,bỉm,5.928386375396982,0.014898878461038437
2189,tã,5.757630265826989,0.01641719934911272
1863,sữa,5.473238021730006,0.019309817153234387
1792,size,5.127307607795414,0.023552234483402382
1733,rõ,4.9187204859336005,0.026567185800461746
944,khó,4.9187204859336005,0.026567185800461746
866,hết,4.60788657509969,0.031825232438052235
1539,nói,4.6020098282393365,0.031934497954942236
58,bit,4.530644263431149,0.0332930816369308
916,khen,4.530644263431149,0.0332930816369308
1246,mìn,4.530644263431149,0.0332930816369308
565,dịch,4.530644263431149,0.0332930816369308
2314,việt,4.530644263431149,0.0332930816369308
2462,y_như,4.530644263431149,0.0332930816369308
2588,đất,4.530644263431149,0.0332930816369308
77,bong,4.530644263431149,0.0332930816369308
569,dịu,4.530644263431149,0.0332930816369308
298,chạy,4.530644263431149,0.0332930816369308
1478,nhật_bản,4.530644263431149,0.0332930816369308
584,enfa,4.530644263431149,0.0332930816369308
698,gặp,4.530644263431149,0.0332930816369308
46,ben,4.530644263431149,0.0332930816369308
1652,phụ_phí,4.530644263431149,0.0332930816369308
449,cập_nhật,4.530644263431149,0.0332930816369308
1055,liền,4.530644263431149,0.0332930816369308
874,học,4.530644263431149,0.0332930816369308
71,bobby,4.492689410722198,0.03404008615061776
1297,mỏng,4.441903264644808,0.035067133613118875
2108,tràn,4.435090828533452,0.035207346357387766
98,bán,4.398268634334208,0.03597543582997826
1068,loại,4.33463268307,0.03734447290006071
1359,nguyên,4.11324631062336,0.04254861655360407
1786,sinh,4.11324631062336,0.04254861655360407
1397,nhan,4.11324631062336,0.04254861655360407
1887,than,4.11324631062336,0.04254861655360407
767,hon,4.11324631062336,0.04254861655360407
1057,lo,4.11324631062336,0.04254861655360407
1696,quần,4.0894993354009745,0.04315042211629468
484,date,3.8088724418318898,0.05098175966001272
400,cám_ơn,3.5449918203196886,0.05972546167437608
2378,vỏ,3.4646944548583902,0.06269208897650554
2670,ưu_đãi,3.4646944548583902,0.06269208897650554
1580,ok,3.326426458410286,0.06817485045683931
991,kèm,3.2547803058935925,0.07121547988034152
2573,đơn,3.1103234381922906,0.07779750979159823
1236,mã,3.0919344943935116,0.07868121686709435
2606,đặt,3.068890867950026,0.07980390219643232
1837,sản_phẩm,2.995488395078557,0.08349673266611866
247,chong,2.9699814253092947,0.08482282833827942
1283,mặt_hàng,2.9699814253092947,0.08482282833827942
1407,nhiet,2.9699814253092947,0.08482282833827942
1476,nhập_khẩu,2.9699814253092947,0.08482282833827942
191,bộ_đồ,2.9699814253092947,0.08482282833827942
2023,thực_tế,2.9699814253092947,0.08482282833827942
2008,thịt,2.9699814253092947,0.08482282833827942
2047,tiêu_hoá,2.9699814253092947,0.08482282833827942
432,cạnh_tranh,2.9699814253092947,0.08482282833827942
381,cuc,2.9699814253092947,0.08482282833827942
996,kêu,2.9699814253092947,0.08482282833827942
763,hoi,2.9699814253092947,0.08482282833827942
335,chồng,2.9699814253092947,0.08482282833827942
367,comment,2.9699814253092947,0.08482282833827942
1736,rút,2.9699814253092947,0.08482282833827942
594,free,2.9699814253092947,0.08482282833827942
1161,lựa_chọn,2.9699814253092947,0.08482282833827942
51,bich,2.9699814253092947,0.08482282833827942
936,khác,2.9141874850891254,0.08780362633666178
839,hăm,2.879929109437306,0.08968997023780434
1364,ngày,2.680902689846454,0.10155814560689615
1271,mẫu,2.649534780682322,0.1035802053610019
1606,pampers,2.5343376163048297,0.1113936237401111
418,cũ,2.517810043068887,0.11256681540517427
834,hôm,2.476739034116083,0.11554158566297182
476,da,2.3615418697385913,0.1243592200879509
1350,ngon,2.3189508707951325,0.12780620017413738
1895,thay,2.303943287549845,0.12904601540226163
1289,mềm_mại,2.303943287549845,0.12904601540226163
441,cảm_ơn,2.302880000113606,0.12913436315324428
1276,mặc,2.2989110800586223,0.12946473347105178
2011,thời_gian,2.243487876274761,0.1341780170266769
1487,nhỏ,2.14054177539566,0.14345122253782314
559,dễ,2.1311475409836067,0.1443326668673338
487,dc,2.1311475409836067,0.1443326668673338
2070,to,2.1311475409836067,0.1443326668673338
2007,thị_trường,2.124310691523806,0.14497799107684367
2505,đc,2.1082002715199444,0.14651153744554582
304,chất,2.0852623973279707,0.14872666474869664
2645,đổi,2.073548958794861,0.1498724132517546
1774,ship,2.0678235510313496,0.15043607157735178
17,anh,2.05662315531168,0.15154568318013972
1557,nằm,2.05662315531168,0.15154568318013972
1918,thoi,2.05662315531168,0.15154568318013972
802,hàng_hoá,2.05662315531168,0.15154568318013972
899,in,2.05662315531168,0.15154568318013972
2346,vô,2.05662315531168,0.15154568318013972
1152,lời,2.05662315531168,0.15154568318013972
941,khâu,2.05662315531168,0.15154568318013972
202,bữa,2.05662315531168,0.15154568318013972
2460,xử_lý,2.05662315531168,0.15154568318013972
2313,viết,2.05662315531168,0.15154568318013972
719,han,2.05662315531168,0.15154568318013972
861,hằn,2.015950376606114,0.15565377967635974
2191,tè,2.015950376606114,0.15565377967635974
165,bằng,2.015950376606114,0.15565377967635974
1149,lớn,2.015950376606114,0.15565377967635974
1958,thôi,1.9583517944173685,0.16168970081805656
118,bình,1.9583517944173685,0.16168970081805656
530,dòng,1.9583517944173685,0.16168970081805656
2671,ướt,1.9583517944173685,0.16168970081805656
60,biết,1.9183908609113527,0.16603415941659344
315,chắc,1.9007532122286224,0.16799403485593062
217,cao,1.9007532122286224,0.16799403485593062
132,bông,1.843154630039876,0.17458165497322387
365,combo,1.843154630039876,0.17458165497322387
1744,rẻ,1.8339320856311412,0.17566381231497125
828,hình_ảnh,1.8120209490701296,0.17826598808490474
474,cực_kỳ,1.8120209490701296,0.17826598808490474
652,giảm_giá,1.7855560478511299,0.18146855315022603
102,báo,1.7279574656623835,0.18867195837804804
531,dù,1.7279574656623835,0.18867195837804804
1482,nhẹ,1.7166628580495824,0.1901231757304909
1398,nhanh,1.709752924843168,0.19101743037459648
938,khách,1.6826159072060711,0.19457722231912322
309,chậm,1.670358883473638,0.19621047187983653
1190,minh,1.670358883473638,0.19621047187983653
1931,thun,1.6127603012848917,0.2041042225002282
699,gọi,1.6127603012848917,0.2041042225002282
2052,tiếp,1.6108094475307588,0.20437805605330864
1550,nước,1.5551617190961453,0.21237504615145378
158,bẩn,1.5551617190961453,0.21237504615145378
1993,thật,1.5459672471967558,0.2137317732304959
37,bao,1.5459672471967558,0.2137317732304959
1005,kĩ,1.5459672471967558,0.2137317732304959
114,bên,1.5208220661839211,0.2174951325079333
580,dự_kiến,1.5090342864933026,0.21928650483562565
2691,ổn,1.5086086351832686,0.21935151910697503
1078,luong,1.4975631369073994,0.22104669413384812
890,hợp_lý,1.4975631369073994,0.22104669413384812
1605,pamper,1.4975631369073994,0.22104669413384812
520,dám,1.4669171693761853,0.22583272549218628
274,chê,1.4669171693761853,0.22583272549218628
2637,đồ_chơi,1.4669171693761853,0.22583272549218628
2086,trang,1.4669171693761853,0.22583272549218628
707,gỗ,1.4669171693761853,0.22583272549218628
745,hiện,1.4669171693761853,0.22583272549218628
2141,trắng,1.4669171693761853,0.22583272549218628
1206,mo,1.4669171693761853,0.22583272549218628
1381,ngắn,1.4669171693761853,0.22583272549218628
2201,tích,1.4669171693761853,0.22583272549218628
650,giải_thích,1.4669171693761853,0.22583272549218628
251,chu_đáo,1.4669171693761853,0.22583272549218628
2611,đến,1.4570937425445627,0.22739310335144933
465,cục,1.439964554718653,0.23014507634566478
1646,phần,1.439964554718653,0.23014507634566478
32,ban_ngày,1.439964554718653,0.23014507634566478
229,chat,1.439964554718653,0.23014507634566478
2169,tuy_nhiên,1.4058000749804025,0.23575485783626077
2631,đỏ,1.3823659725299073,0.2396985469533681
2250,tệ,1.3823659725299073,0.2396985469533681
29,balo,1.3823659725299073,0.2396985469533681
1183,merries,1.3823659725299073,0.2396985469533681
909,kg,1.351396128049604,0.24503419206262175
1477,nhật,1.3179902846248068,0.2509530504715831
1433,nhân_viên,1.3039265037718493,0.253497246236842
633,giá_thành,1.2671688081524148,0.2602984822329293
1253,mông,1.2671688081524148,0.2602984822329293
2078,toàn,1.2671688081524148,0.2602984822329293
953,khăn,1.2095702259636685,0.27141725424387153
2492,ôm,1.2095702259636685,0.27141725424387153
694,gần,1.2095702259636685,0.27141725424387153
522,dáng,1.2095702259636685,0.27141725424387153
470,cửa_hàng,1.2095702259636685,0.27141725424387153
2656,đủ,1.2095702259636685,0.27141725424387153
357,co,1.2095702259636685,0.27141725424387153
2217,tăng,1.2095702259636685,0.27141725424387153
1547,năm,1.2095702259636685,0.27141725424387153
2667,ưng_ý,1.2095702259636685,0.27141725424387153
2173,tuyệt_vời,1.2081070856480696,0.27170733301037264
1388,ngủ,1.1519716437749226,0.28313679560799365
1174,may,1.1519716437749226,0.28313679560799365
2593,đầy,1.1519716437749226,0.28313679560799365
149,bảo,1.1519716437749226,0.28313679560799365
1219,mua,1.1305138746770478,0.28766575504379377
1257,mùi,1.1251866443997594,0.28880437004384085
1893,thanks,1.1217439381373806,0.28954324865294667
1162,ma,1.1217439381373806,0.28954324865294667
643,giúp,1.0943730615861762,0.29550430694959084
241,chiều,1.0943730615861762,0.29550430694959084
197,bụi,1.0943730615861762,0.29550430694959084
287,chút,1.0943730615861762,0.29550430694959084
411,có_vẻ,1.0943730615861762,0.29550430694959084
1130,lắm,1.0824596980334689,0.2981479557518796
306,chất_lượng,1.0736662176066791,0.3001188000260727
1024,kỹ_càng,1.062155345761903,0.3027241148947353
1512,now,1.062155345761903,0.3027241148947353
1033,lan,1.062155345761903,0.3027241148947353
1423,nhà_cung_cấp,1.062155345761903,0.3027241148947353
701,gọn,1.062155345761903,0.3027241148947353
878,hồi,1.062155345761903,0.3027241148947353
1331,ng,1.062155345761903,0.3027241148947353
1111,lưng,1.0541001357599722,0.3045646749738848
1023,kỹ,1.0541001357599722,0.3045646749738848
1066,lon,1.0367744793974305,0.30857283102370114
199,bụng,1.0367744793974305,0.30857283102370114
716,hai_long,1.0367744793974305,0.30857283102370114
593,form,1.0367744793974305,0.30857283102370114
404,cân,1.0367744793974305,0.30857283102370114
1210,mong,1.0357296009755024,0.3088167378099257
2364,vận_chuyển,1.005109327083516,0.31607735059204317
2545,đêm,1.005109327083516,0.31607735059204317
521,dán,1.005109327083516,0.31607735059204317
1950,thích,0.9862750735324403,0.3206544863757008
2175,tuổi,0.9791758972086843,0.32240234858215605
2038,tin_dùng,0.9791758972086843,0.32240234858215605
2065,tiện_lợi,0.9791758972086843,0.32240234858215605
945,khó_chịu,0.9791758972086843,0.32240234858215605
382,cung,0.9791758972086843,0.32240234858215605
676,goon,0.9791758972086843,0.32240234858215605
1399,nhanh_chóng,0.9591954304556763,0.327389671777691
2077,tot,0.9564927694293341,0.3280721066908131
615,gia,0.9522181104579724,0.3291553383374372
1767,sd,0.9522181104579724,0.3291553383374372
472,cực,0.9432285731644247,0.3314489160776787
2411,xinh,0.921577315019938,0.33706116140696923
1751,rộng,0.921577315019938,0.33706116140696923
1636,phí,0.921577315019938,0.33706116140696923
398,cách,0.921577315019938,0.33706116140696923
2399,xai,0.921577315019938,0.33706116140696923
467,cứng,0.921577315019938,0.33706116140696923
1558,nặng,0.921577315019938,0.33706116140696923
2213,túi_tiền,0.921577315019938,0.33706116140696923
1946,thân_thiện,0.921577315019938,0.33706116140696923
2488,ít,0.921577315019938,0.33706116140696923
2133,trả,0.921577315019938,0.33706116140696923
2345,vón,0.921577315019938,0.33706116140696923
2232,tạm,0.921577315019938,0.33706116140696923
1839,sản_xuất,0.921577315019938,0.33706116140696923
1707,rat,0.9082754128655769,0.340572416863814
2471,yêu,0.8639787328311918,0.35262766153423253
781,hoặc,0.8639787328311918,0.35262766153423253
