,text,_score,_pvalue
1871,tặng,0.0005713468462092246,0.9809300908161217
930,kỹ,0.0008380572420379508,0.9769050914997962
1367,on,0.001404895437932853,0.970100743949164
2096,ý_kiến,0.001404895437932853,0.970100743949164
640,giấy,0.001404895437932853,0.970100743949164
464,công_nhận,0.001404895437932853,0.970100743949164
1548,sony,0.001404895437932853,0.970100743949164
1443,que,0.001404895437932853,0.970100743949164
824,inbox,0.001404895437932853,0.970100743949164
2017,xuất_sắc,0.001404895437932853,0.970100743949164
611,ghét,0.001404895437932853,0.970100743949164
151,990,0.001404895437932853,0.970100743949164
813,hợp_lí,0.001404895437932853,0.970100743949164
2202,đối,0.001404895437932853,0.970100743949164
669,gấp,0.001404895437932853,0.970100743949164
1248,ngờ,0.001404895437932853,0.970100743949164
847,kh,0.001404895437932853,0.970100743949164
519,cứng_cáp,0.001404895437932853,0.970100743949164
518,cứng,0.001404895437932853,0.970100743949164
848,khay,0.001404895437932853,0.970100743949164
100,5h,0.001404895437932853,0.970100743949164
959,load,0.001404895437932853,0.970100743949164
955,lo,0.001404895437932853,0.970100743949164
1493,rút,0.001404895437932853,0.970100743949164
1302,nhật,0.001404895437932853,0.970100743949164
1292,nhược_điểm,0.001404895437932853,0.970100743949164
862,khuyên,0.001404895437932853,0.970100743949164
870,khóa,0.001404895437932853,0.970100743949164
863,khuyến_mãi,0.001404895437932853,0.970100743949164
935,la,0.001404895437932853,0.970100743949164
865,khâu,0.001404895437932853,0.970100743949164
937,laptop,0.001404895437932853,0.970100743949164
805,hổ,0.001404895437932853,0.970100743949164
1020,lỗ,0.001404895437932853,0.970100743949164
1647,thoải_mái,0.001404895437932853,0.970100743949164
1370,otg,0.001404895437932853,0.970100743949164
1813,tv,0.001404895437932853,0.970100743949164
1356,nứt,0.001404895437932853,0.970100743949164
1110,máy_móc,0.001404895437932853,0.970100743949164
2243,ấn_tượng,0.001404895437932853,0.970100743949164
1771,trùng,0.001404895437932853,0.970100743949164
894,kiểm_chứng,0.001404895437932853,0.970100743949164
305,canh,0.001404895437932853,0.970100743949164
12,120hz,0.001404895437932853,0.970100743949164
239,bít,0.001404895437932853,0.970100743949164
1399,phân_vân,0.001404895437932853,0.970100743949164
16,15,0.001404895437932853,0.970100743949164
1646,thoại,0.001404895437932853,0.970100743949164
1726,tiện,0.001404895437932853,0.970100743949164
1735,tn,0.001404895437932853,0.970100743949164
221,bà_con,0.001404895437932853,0.970100743949164
1946,voucher,0.001404895437932853,0.970100743949164
696,hihi,0.001404895437932853,0.970100743949164
554,dày,0.001404895437932853,0.970100743949164
1675,thơm,0.001404895437932853,0.970100743949164
1891,tổng_quan,0.001404895437932853,0.970100743949164
200,bh,0.001404895437932853,0.970100743949164
2152,đóng_hộp,0.001404895437932853,0.970100743949164
365,chói,0.001404895437932853,0.970100743949164
1185,một_chút,0.001404895437932853,0.970100743949164
1695,thời_lượng,0.001404895437932853,0.970100743949164
1172,mềm,0.001404895437932853,0.970100743949164
1780,trải,0.0018121996336451383,0.9660443596427758
760,hôm,0.0018121996336451383,0.9660443596427758
822,imei,0.002809790875865706,0.9577259633989006
130,80,0.002809790875865706,0.9577259633989006
742,hành,0.002809790875865706,0.9577259633989006
2143,đêm,0.002809790875865706,0.9577259633989006
1945,vote,0.002809790875865706,0.9577259633989006
1589,sập,0.002809790875865706,0.9577259633989006
274,bắt_mắt,0.002809790875865706,0.9577259633989006
2157,đăng,0.002809790875865706,0.9577259633989006
530,dc,0.002809790875865706,0.9577259633989006
1357,nửa,0.002809790875865706,0.9577259633989006
300,cam,0.003620171827273787,0.9520219403453942
2090,ít,0.003620171827273787,0.9520219403453942
282,bọc,0.003620171827273787,0.9520219403453942
1641,thiết_kế,0.004214686313798539,0.9482372064413719
443,cài_đặt,0.004214686313798539,0.9482372064413719
1114,máy_nguyên,0.004214686313798539,0.9482372064413719
907,kèm,0.005208217905228584,0.9424682238342275
320,check,0.006562097302629992,0.9354365659835039
984,lâu_dài,0.006562097302629992,0.9354365659835039
1071,miếng,0.007024477189664284,0.9332057843779099
176,android,0.007024477189664284,0.9332057843779099
1139,mô_tả,0.009809996470152856,0.9211022024298725
1184,một,0.00982982419098841,0.9210227701935716
2221,đợi,0.009834268065529977,0.9210049785978006
1214,nghiệm,0.009834268065529977,0.9210049785978006
446,cám_ơn,0.009834268065529977,0.9210049785978006
2233,ưng_ý,0.011239163503462823,0.9155705135492473
1163,mẫu,0.011366946026538576,0.9150937193868337
2036,xíu,0.011366946026538576,0.9150937193868337
1209,ng,0.01955892792963352,0.888775949450877
2079,áp_suất,0.01955892792963352,0.888775949450877
522,cực,0.019668536131059955,0.8884667673384267
2232,ưng,0.022733892053077152,0.8801511375078666
370,chút,0.029774248675248804,0.8630034567763947
1541,siêu,0.034100838079615864,0.8534924883624511
1957,vô,0.03494856783849933,0.851703473493653
641,giật,0.03494856783849933,0.851703473493653
1285,nhìu,0.03494856783849933,0.851703473493653
1600,sợ,0.03494856783849933,0.851703473493653
1049,mau,0.03494856783849933,0.851703473493653
83,4g,0.03494856783849933,0.851703473493653
1393,phát_triển,0.03494856783849933,0.851703473493653
399,chị_em,0.03494856783849933,0.851703473493653
521,cửa_hàng,0.03494856783849933,0.851703473493653
1951,vàng,0.05185572702916471,0.8198650692210803
1369,online,0.05185572702916471,0.8198650692210803
1975,vết,0.06078663913179565,0.8052569176529717
474,cường_lực,0.06142571469434016,0.804256567070528
920,kĩ,0.06520385948884705,0.7984524267409782
229,báo,0.06989713567699866,0.7914866092510093
499,cập_nhật,0.07049165016352349,0.7906222788311902
772,hạn,0.07049165016352349,0.7906222788311902
1164,mẫu_mã,0.07049165016352349,0.7906222788311902
1060,mic,0.07049165016352349,0.7906222788311902
1803,tui,0.07049165016352349,0.7906222788311902
823,in,0.07049165016352349,0.7906222788311902
493,cầm_chắc_tay,0.07049165016352349,0.7906222788311902
1190,mới_đầu,0.07049165016352349,0.7906222788311902
2169,đấy,0.07049165016352349,0.7906222788311902
1406,phút,0.07049165016352349,0.7906222788311902
1652,thành,0.07049165016352349,0.7906222788311902
2230,đựng,0.07049165016352349,0.7906222788311902
682,hai,0.07049165016352349,0.7906222788311902
1798,trợ,0.07049165016352349,0.7906222788311902
1955,vòng,0.07049165016352349,0.7906222788311902
2012,xu,0.07049165016352349,0.7906222788311902
801,hồi,0.07049165016352349,0.7906222788311902
2102,đai,0.07049165016352349,0.7906222788311902
476,cạnh,0.07436102497345329,0.7850898465113786
1486,rè,0.07436102497345329,0.7850898465113786
610,ghép,0.08432473807796864,0.7715200189481265
718,hoàn,0.1040329727902971,0.7470425582063471
2251,ổn_áp,0.1040329727902971,0.7470425582063471
2184,đẹp_mắt,0.1040329727902971,0.7470425582063471
861,khui,0.1040329727902971,0.7470425582063471
563,dùm,0.1040329727902971,0.7470425582063471
546,dt,0.1040329727902971,0.7470425582063471
1432,pubg,0.1040329727902971,0.7470425582063471
1045,mal,0.1040329727902971,0.7470425582063471
873,không_thể,0.1040329727902971,0.7470425582063471
2225,đủ,0.10484570351549802,0.7460903172498884
2009,xong,0.10484570351549802,0.7460903172498884
871,không,0.11301158979188722,0.7367411928795924
602,game,0.11786157400724512,0.7313654580581045
469,cũ,0.12614612654964485,0.722461818667961
442,cài,0.13979427135399733,0.7084856200867471
1907,unlock,0.14098330032704698,0.7073054290076252
844,keng,0.14098330032704698,0.7073054290076252
346,chán,0.14098330032704698,0.7073054290076252
1420,phụ_kiện,0.1414150332568133,0.7068783105849052
2108,đi,0.14228652570039246,0.7060183948672507
1612,tai_nghe,0.14228652570039246,0.7060183948672507
2124,đt,0.14228652570039246,0.7060183948672507
1158,mất,0.14872204994690658,0.6997596166368732
351,cháy,0.15541090272801697,0.6934172218106318
1120,máy_tính,0.15541090272801697,0.6934172218106318
285,bỏ_qua,0.15541090272801697,0.6934172218106318
1481,rác,0.15541090272801697,0.6934172218106318
952,liên_tục,0.15541090272801697,0.6934172218106318
1830,tính_chất,0.15541090272801697,0.6934172218106318
1469,redmi,0.15541090272801697,0.6934172218106318
1113,máy_ngon,0.15541090272801697,0.6934172218106318
954,liệt,0.15541090272801697,0.6934172218106318
2107,đeo,0.15541090272801697,0.6934172218106318
258,bảo_hành_chính,0.15541090272801697,0.6934172218106318
1389,phàn_nàn,0.15541090272801697,0.6934172218106318
1854,tưởng,0.15541090272801697,0.6934172218106318
