,text,_score,_pvalue
2025,xài,3.7849218177086033e-05,0.9950913080496435
372,chăm_sóc,3.7849218177086033e-05,0.9950913080496435
1184,một,0.0005073201794513276,0.9820301517197483
1800,trừ,0.0011757988658137757,0.9726459598864611
1632,thay,0.0011757988658137757,0.9726459598864611
1618,test,0.002547764706989455,0.9597435626137729
2108,đi,0.004116102476758212,0.9488453286147832
412,chụp,0.004168107602924233,0.9485236306119044
2168,đảm_bảo,0.004871397143059911,0.9443565126136622
1260,nhe,0.004871397143059911,0.9443565126136622
633,giúp,0.004871397143059911,0.9443565126136622
873,không_thể,0.004871397143059911,0.9443565126136622
2184,đẹp_mắt,0.004871397143059911,0.9443565126136622
1300,nhận_xét,0.004871397143059911,0.9443565126136622
968,lun,0.004871397143059911,0.9443565126136622
859,khoẻ,0.004871397143059911,0.9443565126136622
1831,tính_năng,0.004871397143059911,0.9443565126136622
1627,thank,0.004871397143059911,0.9443565126136622
2218,đời,0.004871397143059911,0.9443565126136622
1191,mờ,0.004871397143059911,0.9443565126136622
563,dùm,0.004871397143059911,0.9443565126136622
1393,phát_triển,0.0054334326875310505,0.9412396918672249
1691,thị_trường,0.0054334326875310505,0.9412396918672249
1049,mau,0.0054334326875310505,0.9412396918672249
2231,ơn,0.0054334326875310505,0.9412396918672249
565,dăm,0.0054334326875310505,0.9412396918672249
1957,vô,0.0054334326875310505,0.9412396918672249
1285,nhìu,0.0054334326875310505,0.9412396918672249
489,cấn,0.0054334326875310505,0.9412396918672249
1470,rep,0.0054334326875310505,0.9412396918672249
675,gọn,0.0054334326875310505,0.9412396918672249
284,bọng,0.0054334326875310505,0.9412396918672249
323,chi_tiết,0.006268013671503883,0.9368967794436498
1950,vui_vẻ,0.008390567133736553,0.9270158205121966
2046,xịn,0.009742794286119821,0.9213720271921463
1931,video,0.009742794286119821,0.9213720271921463
1990,vừa_lòng,0.009742794286119821,0.9213720271921463
1148,mướt,0.009742794286119821,0.9213720271921463
576,dịch_vụ,0.009742794286119821,0.9213720271921463
1269,nhiệt_tình,0.01459698009450204,0.9038352222054529
2221,đợi,0.014614191429179767,0.9037788203251919
916,kính,0.014614191429179767,0.9037788203251919
2233,ưng_ý,0.016300298062593106,0.8984080582982389
2009,xong,0.016300298062593106,0.8984080582982389
1294,nhạy,0.021118938082587375,0.8844554112941864
557,dán,0.024356985715299456,0.8759800147523494
368,chúc,0.025154021183734283,0.8739838768176349
2254,ủng_hộ,0.026349830001096933,0.8710488992760052
474,cường_lực,0.027167163437655226,0.8690820058234563
1916,uy_tín,0.030505132785959864,0.8613490108246223
1280,nhân_viên,0.03242931931456529,0.8570886456023137
512,cục,0.03860620254062881,0.8442308761904217
2142,đét,0.0402187369400484,0.8410535101412183
1641,thiết_kế,0.0402187369400484,0.8410535101412183
1293,nhạc,0.0402187369400484,0.8410535101412183
1449,quà,0.0402187369400484,0.8410535101412183
300,cam,0.04485309772195019,0.832274381788899
769,hướng_dẫn,0.047442943617806974,0.8275740270409575
2174,đầy_đủ,0.04871397143059891,0.8253163617852289
231,bát,0.05026647349718132,0.8226002371612675
666,gạo,0.05026647349718132,0.8226002371612675
665,gạch,0.05564426466065814,0.8135177443282495
580,dự_kiến,0.05564426466065814,0.8135177443282495
806,hộ,0.05564426466065814,0.8135177443282495
1357,nửa,0.05564426466065814,0.8135177443282495
130,80,0.05564426466065814,0.8135177443282495
243,bóng,0.05564426466065814,0.8135177443282495
1077,mn,0.05564426466065814,0.8135177443282495
700,hiện,0.05564426466065814,0.8135177443282495
1050,max,0.05564426466065814,0.8135177443282495
552,dài_dài,0.05564426466065814,0.8135177443282495
1267,nhiệt,0.05564426466065814,0.8135177443282495
845,keo,0.05564426466065814,0.8135177443282495
1879,tối,0.05564426466065814,0.8135177443282495
295,bữa,0.05564426466065814,0.8135177443282495
1722,tiền,0.07063462493790362,0.7904149985391329
1570,sóng,0.07665694960776928,0.7818799945249
1981,vỏ,0.07665694960776928,0.7818799945249
