,word,score,pvalue
1623,mượt,654.3763806614472,2.4965455197980302e-144
1580,máy,281.7154889014054,3.1751583613555737e-63
360,chạy,214.63092678065286,1.3414668174521775e-48
2068,pin,202.8996575485682,4.865011728466664e-46
3299,đơ,170.40494250717865,6.035643868240866e-39
1624,mượt_mà,145.3171516366905,1.8307297339773368e-33
772,game,142.24296267725367,8.605111007934629e-33
1838,nhạy,134.32739851713816,4.6329621855592775e-31
411,chụp,134.21257724508126,4.908795090544868e-31
1321,lag,133.7429205144381,6.21884614675575e-31
2670,trâu,118.03651928511948,1.702248267975141e-27
356,chơi,118.03651928511948,1.702248267975141e-27
672,dùng,113.66837484113438,1.54030291843648e-26
537,cảm_ứng,105.4149576067829,9.905931157043292e-25
1927,nóng,103.97036481738677,2.0536493565431343e-24
1567,màn_hình,99.38411877567022,2.0798372313036818e-23
2985,vân,82.42713410803765,1.0963831884476e-19
1439,lướt,79.71872848045464,4.3168924448279386e-19
840,giật,75.94618198389844,2.9150217637607233e-18
3066,wifi,72.68912683320262,1.5176795282456727e-17
3445,ứng_dụng,70.82191157107172,3.909705775420505e-17
2766,tác_vụ,64.09220818786643,1.1873018325198356e-15
953,hiệu_năng,59.04100695740533,1.5442008635350715e-14
189,bắt,58.765441827553225,1.7763395715496023e-14
239,camera,56.42530554486283,5.837425396641102e-14
2365,sử_dụng,55.05953952501529,1.1693340467712827e-13
3437,ổn,54.03590650495919,1.968590725801384e-13
2836,tầm,52.86397843408546,3.5746556232889155e-13
282,chip,52.326007902838114,4.70107037248973e-13
3062,web,49.08673615197759,2.448905751945764e-12
1437,lưọng,47.839285714285715,4.626283817920432e-12
372,chậm,47.77204734199051,4.7876974889869335e-12
1566,màn,47.076731115878616,6.826129365485295e-12
3340,đẹp,41.652780050849834,1.0901027337036357e-10
1923,nói_chung,41.160654089252525,1.4021687246842446e-10
2053,phần_mềm,36.910591849163794,1.2367226699484914e-09
2313,sóng,36.28900337186361,1.701210557289839e-09
3159,youtube,35.91592106626575,2.0601837834764744e-09
1628,mạng,35.37187663307205,2.7239175718003776e-09
950,hiện_tượng,34.897856447135126,3.474631927931473e-09
1629,mạnh,33.99048218951635,5.538232250694484e-09
3165,yếu,33.86568695978341,5.905103106067879e-09
1744,nguồn,33.08242796537169,8.833343658526472e-09
1748,ngày,32.542730705148166,1.1660044239381181e-08
1021,hình,32.106875572322224,1.4591998118265467e-08
2981,vài,31.73786085430035,1.7644867769499546e-08
2379,tay,31.31833347005388,2.1900175711935196e-08
1472,lỗi,30.984482704989418,2.600996257182354e-08
2939,video,30.974955241729216,2.613795625881477e-08
1197,khuôn_mặt,30.56539317345588,3.228005305710941e-08
3418,ấm,29.89955357142857,4.550175869671242e-08
1850,nhận_dạng,29.89955357142857,4.550175869671242e-08
2136,ram,29.520503478702665,5.532828792458031e-08
514,cơ_bản,28.992263662056487,7.26679301755006e-08
1184,khoẻ,28.468102306011993,9.525495644318846e-08
1199,khác,28.11895967116276,1.1408275488593416e-07
1558,muốn,28.012282388559328,1.2054789371602256e-07
3032,về,27.18928450710559,1.8447829740493038e-07
2862,tốc_độ,26.782492578965147,2.2769082546204273e-07
926,hay,26.7683903983771,2.2935851707070476e-07
