,word,score,pvalue
703,dịch_vụ,239.74837881974574,4.4624184314537846e-54
1817,nhân_viên,106.76823186941529,5.003979735172762e-25
1203,khách_hàng,104.69222869547104,1.4265947332854666e-24
352,chăm_sóc,81.02491103202847,2.228902140412015e-19
1802,nhiệt_tình,77.08695231688283,1.6359452953567737e-18
982,hoá_đơn,77.08695231688283,1.6359452953567737e-18
172,bảo_hành,72.09700977324513,2.04873966121604e-17
1104,hỗ_trợ,70.92658508976825,3.7076802846505094e-17
1848,nhận,68.6203791402471,1.193641987738007e-16
1005,hàng,68.50621941995583,1.2647807905072538e-16
3279,đóng_gói,62.21432247952331,3.0803940741495543e-15
2697,trả_góp,60.258450431037346,8.318493692817031e-15
798,giao,57.24445899547077,3.8487189470828245e-14
204,bọc,56.55476380660375,5.465481603098673e-14
2806,tư_vấn,54.64435489609736,1.44438619650949e-13
2881,tổng_đài,52.34611434773552,4.65318361159479e-13
2465,thành_công,52.07472448202399,5.342824254171056e-13
453,cskh,50.64056939501779,1.1092818638919791e-12
828,giải_quyết,44.25310148989186,2.8854686777761094e-11
910,gửi,43.18569666031669,4.9783287090873835e-11
1082,hệ_thống,42.6258799888962,6.627666274337512e-11
3338,đặt,41.38801820873648,1.2482011365431852e-10
3300,đơn,39.27587770239879,3.6795919577871064e-10
1602,móp,37.020820255937664,1.1687458139901758e-09
1555,mua,36.795968899605306,1.3116117005187182e-09
1106,hộp,35.40040926855286,2.684304736310365e-09
1572,màu,34.26983821985486,4.797598653174948e-09
2066,phục_vụ,31.987080190349822,1.5520136934067558e-08
307,chuyên_nghiệp,31.819186071229392,1.692129595871995e-08
2322,sơ_sài,31.819186071229392,1.692129595871995e-08
298,chu_đáo,30.829711426163456,2.8169179060603404e-08
997,huỷ,30.829711426163456,2.8169179060603404e-08
2788,tôi,30.773666966230053,2.8994587373607264e-08
866,grey,30.384341637010674,3.543772119090416e-08
31,anh_chị,30.384341637010674,3.543772119090416e-08
3390,đội_ngũ,30.384341637010674,3.543772119090416e-08
93,blue,30.384341637010674,3.543772119090416e-08
1345,liên_hệ,30.129225215518673,4.0419390310120876e-08
552,cẩn_thận,29.878669198390398,4.5994522780905015e-08
837,giấy,29.706618654820314,5.0262916864675794e-08
3105,xuất,28.793971310173735,8.050130482242392e-08
1393,làm_việc,27.91640693755793,1.2667110987366934e-07
897,gọi,27.90629896002539,1.273345643101058e-07
135,báo,26.933215987586852,2.1060810604482177e-07
2476,thân_thiện,25.975771192374133,3.4572918992425745e-07
1204,khâu,24.68054683729177,6.766371345764003e-07
344,chúc,24.407460388516398,7.796618284225604e-07
171,bảo,23.86473422702832,1.033477958178935e-06
1845,nhầm,23.86473422702832,1.033477958178935e-06
2351,sốc,23.86473422702832,1.033477958178935e-06
1905,nv,23.86473422702832,1.033477958178935e-06
2519,thẻ,23.85802559251544,1.0370859357513376e-06
1748,ngày,23.177637536439832,1.4770500230264637e-06
2696,trả,22.101419336122625,2.5861845783209184e-06
3032,về,21.424806752072953,3.6797930638882862e-06
1234,kiem,21.3129399944481,3.900894055357732e-06
2208,sacombank,21.3129399944481,3.900894055357732e-06
2469,thái_độ,21.3129399944481,3.900894055357732e-06
1950,nền,21.3129399944481,3.900894055357732e-06
3050,vụ,21.3129399944481,3.900894055357732e-06
3376,đồng,21.3129399944481,3.900894055357732e-06
1880,nilon,20.567122364409812,5.757648936177202e-06
815,giá_trị,20.527533946505713,5.8779619888272124e-06
1003,hài_lòng,20.49226589062983,5.987268957805296e-06
1100,hồi_âm,20.256227758007118,6.773261713066062e-06
2495,thư,20.256227758007118,6.773261713066062e-06
219,bộ_phận,20.256227758007118,6.773261713066062e-06
2217,same,20.256227758007118,6.773261713066062e-06
1410,lãi,20.256227758007118,6.773261713066062e-06
563,cố_tình,20.256227758007118,6.773261713066062e-06
2878,tổng,20.256227758007118,6.773261713066062e-06
1712,nghi_ngờ,20.256227758007118,6.773261713066062e-06
1183,khoảng_cách,20.256227758007118,6.773261713066062e-06
856,goi,20.256227758007118,6.773261713066062e-06
2295,support,20.256227758007118,6.773261713066062e-06
3424,ẩu_tả,20.256227758007118,6.773261713066062e-06
865,green,20.256227758007118,6.773261713066062e-06
2900,tự_ý,20.256227758007118,6.773261713066062e-06
315,chào,20.256227758007118,6.773261713066062e-06
3055,vừa_ý,20.256227758007118,6.773261713066062e-06
906,gởi,19.848348237842888,8.38351420245133e-06
2968,voucher,19.848348237842888,8.38351420245133e-06
781,ghi,19.67914017495437,9.159578314289216e-06
2212,sai,19.637938851199394,9.359222430121908e-06
1091,hỏi,19.569162438135066,9.702265801554032e-06
3386,đổi,19.421638953595128,1.0481273947573175e-05
3339,đặt_hàng,19.220868798605192,1.1643357276697619e-05
762,fpt,18.026075246561422,2.178998138837286e-05
2698,trả_lời,17.88702812531474,2.3441345945415836e-05
2409,thanh_toán,17.640642670114516,2.668248028953315e-05
2175,rõ_ràng,16.453697891527845,4.985284380152013e-05
325,chèn,16.453697891527845,4.985284380152013e-05
614,dien,16.453697891527845,4.985284380152013e-05
833,giảm,15.960081449847792,6.469232376773599e-05
2230,se,15.909593035614696,6.644110366881653e-05
2515,thắc_mắc,15.909593035614696,6.644110366881653e-05
1563,mà_lại,15.909593035614696,6.644110366881653e-05
1605,môi_trường,15.909593035614696,6.644110366881653e-05
141,bên,15.308785663981215,9.129094194450086e-05
3163,yêu_cầu,15.08420961102255,0.00010281977487026014
3236,điện_thoại,14.473717970426534,0.0001421288068548183
2591,tiếp,14.385826042478376,0.00014891903610584996
3220,đen,14.068246198397029,0.00017629511162206508
2520,thẻ_tín_dụng,13.835355414785122,0.00019954583511837547
2440,thoai,13.835355414785122,0.00019954583511837547
3047,vỡ,13.809376249827107,0.0002023240062927605
2918,uy_tín,13.809376249827107,0.0002023240062927605
2784,tính,13.809376249827107,0.0002023240062927605
2470,tháng,12.963385357836707,0.00031764228596016584
84,biết,12.926698614747993,0.00032392857693949034
1281,kích_hoạt,12.895235791052553,0.000329419593075914
3237,điện_tử,12.541823699617119,0.0003979437265923102
2631,trading,12.541823699617119,0.0003979437265923102
3224,đi,12.531570350888657,0.00040013338122324394
2929,vat,12.340273418645886,0.00044329009053349524
1635,mầu,12.340273418645886,0.00044329009053349524
408,chờ_đợi,12.340273418645886,0.00044329009053349524
1133,in,12.340273418645886,0.00044329009053349524
1479,lớp,12.228599098762757,0.00047062521460906827
1165,kh,12.228599098762757,0.00047062521460906827
533,cảm_nhận,12.228599098762757,0.00047062521460906827
330,chênh_lệch,12.203730194258199,0.000476940546018506
1766,ngược_lại,12.203730194258199,0.000476940546018506
2418,thay_vì,12.203730194258199,0.000476940546018506
3235,điện_máy,12.203730194258199,0.000476940546018506
1809,nhà_cung_cấp,12.203730194258199,0.000476940546018506
1749,ngày_càng,12.203730194258199,0.000476940546018506
2566,tikitrading,12.203730194258199,0.000476940546018506
1099,hồi_hộp,12.203730194258199,0.000476940546018506
1622,mượn,12.203730194258199,0.000476940546018506
963,hoang_mang,12.203730194258199,0.000476940546018506
63,bao_gói,12.203730194258199,0.000476940546018506
1593,méo_mó,12.203730194258199,0.000476940546018506
717,dự_phòng,12.203730194258199,0.000476940546018506
2789,tôn_trọng,12.203730194258199,0.000476940546018506
1288,ký_tên,12.203730194258199,0.000476940546018506
2844,tận_tình,12.203730194258199,0.000476940546018506
1924,nói_chuyện,12.203730194258199,0.000476940546018506
1147,istore,12.203730194258199,0.000476940546018506
2451,thu_hồi,12.203730194258199,0.000476940546018506
1417,lòng_vòng,12.203730194258199,0.000476940546018506
1033,hôm_nay,11.857806627717363,0.0005742013266045176
10,ai,11.857806627717363,0.0005742013266045176
1830,như_thế_nào,11.76042844674301,0.0006050329785399621
133,bán,11.566982524848095,0.0006713327363045453
2150,review,10.871756910075034,0.0009764185851693333
2485,thông_báo,10.871756910075034,0.0009764185851693333
1385,luôn,10.445002275411683,0.0012298175528891967
3038,vỏ,10.227728429679477,0.0013834493921198916
2482,thô_lỗ,10.128113879003559,0.0014602475528059792
2944,view,10.128113879003559,0.0014602475528059792
2943,viettel,10.128113879003559,0.0014602475528059792
1643,mặt_bằng,10.128113879003559,0.0014602475528059792
2946,vin_mart,10.128113879003559,0.0014602475528059792
2096,qua_ngày,10.128113879003559,0.0014602475528059792
1201,khác_thường,10.128113879003559,0.0014602475528059792
306,chuyên,10.128113879003559,0.0014602475528059792
3196,ít_nhất,10.128113879003559,0.0014602475528059792
1135,india,10.128113879003559,0.0014602475528059792
1168,khach,10.128113879003559,0.0014602475528059792
569,cộc_cằn,10.128113879003559,0.0014602475528059792
539,cảnh,10.128113879003559,0.0014602475528059792
288,chiều_tối,10.128113879003559,0.0014602475528059792
2567,tikittrading,10.128113879003559,0.0014602475528059792
2003,phep,10.128113879003559,0.0014602475528059792
1586,máy_xách_tay,10.128113879003559,0.0014602475528059792
16,alo,10.128113879003559,0.0014602475528059792
554,cận,10.128113879003559,0.0014602475528059792
2108,qui_trình,10.128113879003559,0.0014602475528059792
277,chia_sẻ,10.128113879003559,0.0014602475528059792
254,carton,10.128113879003559,0.0014602475528059792
3102,xung_quanh,10.128113879003559,0.0014602475528059792
2927,vang,10.128113879003559,0.0014602475528059792
2101,quanh,10.128113879003559,0.0014602475528059792
816,giám_định,10.128113879003559,0.0014602475528059792
1169,khachs,10.128113879003559,0.0014602475528059792
2931,vc,10.128113879003559,0.0014602475528059792
2913,upadate,10.128113879003559,0.0014602475528059792
3116,xác_minh,10.128113879003559,0.0014602475528059792
2875,tồi,10.128113879003559,0.0014602475528059792
2015,phá,10.128113879003559,0.0014602475528059792
2139,rate,10.128113879003559,0.0014602475528059792
801,gift,10.128113879003559,0.0014602475528059792
2803,tơi_tả,10.128113879003559,0.0014602475528059792
3288,đùn,10.128113879003559,0.0014602475528059792
1311,kỷ,10.128113879003559,0.0014602475528059792
2807,tư_vấn_viên,10.128113879003559,0.0014602475528059792
2505,thấu_hiểu,10.128113879003559,0.0014602475528059792
1314,kỹ_lưỡng,10.128113879003559,0.0014602475528059792
1316,kỹ_thuật_viên,10.128113879003559,0.0014602475528059792
391,chỉ_dẫn,10.128113879003559,0.0014602475528059792
788,ghét,10.128113879003559,0.0014602475528059792
2813,tương_tác,10.128113879003559,0.0014602475528059792
1318,la_bàn,10.128113879003559,0.0014602475528059792
1404,lân,10.128113879003559,0.0014602475528059792
2153,ring,10.128113879003559,0.0014602475528059792
1556,mua_sắm,10.128113879003559,0.0014602475528059792
2819,tường,10.128113879003559,0.0014602475528059792
1320,lad,10.128113879003559,0.0014602475528059792
2,account,10.128113879003559,0.0014602475528059792
441,complain,10.128113879003559,0.0014602475528059792
3277,đòng,10.128113879003559,0.0014602475528059792
1372,loá,10.128113879003559,0.0014602475528059792
2144,recommend,10.128113879003559,0.0014602475528059792
2839,tần_số,10.128113879003559,0.0014602475528059792
2837,tầm_thường,10.128113879003559,0.0014602475528059792
424,cl,10.128113879003559,0.0014602475528059792
3263,đánh_liều,10.128113879003559,0.0014602475528059792
426,clear,10.128113879003559,0.0014602475528059792
427,click,10.128113879003559,0.0014602475528059792
1304,kết_thúc,10.128113879003559,0.0014602475528059792
1299,kế_hoạch,10.128113879003559,0.0014602475528059792
1297,kẻ,10.128113879003559,0.0014602475528059792
2127,quản_lý,10.128113879003559,0.0014602475528059792
13,airpods,10.128113879003559,0.0014602475528059792
