,word,score,pvalue
798,giao,1520.0831472122034,0.0
1005,hàng,1051.2891044408311,1.2768455849753233e-230
1787,nhanh,963.7293709383546,1.3751153003956966e-211
3279,đóng_gói,325.60131866255927,8.726603676103199e-73
552,cẩn_thận,217.62911558010677,2.9754072239473924e-49
1739,nguyên,94.20744208327504,2.841304131104818e-22
716,dự_kiến,87.53728489483747,8.270593477861417e-21
3291,đúng,87.23205076072401,9.65071469802175e-21
1077,hẹn,83.52166609886326,6.302146733087879e-20
3338,đặt,77.90317557541727,1.0821726402292142e-18
2232,seal,72.10787870609398,2.0374864700976602e-17
1017,hãng,60.383407090920485,7.806829239370166e-15
3021,vận_chuyển,60.162605113265414,8.733579362780959e-15
1788,nhanh_chóng,53.855282490002566,2.15814071534419e-13
1032,hôm,51.196898438857026,8.355053311676877e-13
334,chính,50.45273284847006,1.2206970119571736e-12
2249,ship,43.91509451823657,3.429339117702894e-11
1748,ngày,39.7480046676531,2.88935645678088e-10
2476,thân_thiện,37.27653426905056,1.0251067769662888e-09
1848,nhận,36.50776889789905,1.5205898111349429e-09
312,chuẩn,36.192158574490946,1.7878850848331689e-09
1817,nhân_viên,34.42675421711322,4.425973513700952e-09
1802,nhiệt_tình,34.068136090624165,5.3215590792744865e-09
2251,shipper,33.82122370936902,6.04161499328512e-09
3339,đặt_hàng,33.58467189753479,6.82282729555357e-09
1405,lâu,30.598952497321307,3.17264989340302e-08
2268,siêu,30.00424513696258,4.311014887134207e-08
879,gói,29.201259506249293,6.523678488274587e-08
2357,sớm,29.057443195680563,7.026362236360118e-08
1106,hộp,26.401697310423877,2.772967063994681e-07
2565,tikinow,26.133530385772026,3.1860303074008444e-07
2392,tem,25.628377303980663,4.1390750633211583e-07
1711,nghe,25.390654689188302,4.681806878891018e-07
703,dịch_vụ,25.282526601878228,4.95174303441082e-07
1312,kỹ,23.83175849111617,1.0513346415058085e-06
3345,đến,22.169176695036306,2.4964979433035736e-06
287,chiều,20.746035140369766,5.2440040409924875e-06
204,bọc,20.331951178053647,6.5104294643629686e-06
2978,vui_vẻ,20.229869431995926,6.867227825138072e-06
1602,móp,20.119868325181944,7.273713472413019e-06
2714,trễ,19.89483747609943,8.182097524310058e-06
2548,thứ,19.754867835659812,8.803717720000406e-06
1362,loa,19.596076682748922,9.566544287180155e-06
1896,now,19.082221679102773,1.2520581367247128e-05
2333,sản_phẩm,18.739860985595293,1.4981778578951318e-05
1673,mới,18.737407284734747,1.5001068037792715e-05
1295,kẹp,18.597789524267178,1.6140759795868218e-05
2538,thời_gian,18.410463268211593,1.7807744891114747e-05
1921,nó,17.948775340402467,2.2693038140128094e-05
2351,sốc,17.905353728489484,2.3216708960377217e-05
369,chất_lượng,17.449808978530786,2.9499392913802256e-05
815,giá_trị,16.375052538952183,5.196470982157981e-05
1472,lỗi,16.3377051420174,5.2998878637404305e-05
3317,đảm_bảo,16.313728883737234,5.3673676789456975e-05
189,bắt,16.213360424881465,5.659357398867273e-05
1012,hành,15.509995860756018,8.20701155015075e-05
2306,sáng,15.491441734053803,8.287965514854989e-05
3047,vỡ,15.28754656163572,9.23231667893507e-05
1567,màn_hình,15.124397876422675,0.00010065401921162554
2322,sơ_sài,14.36508265165207,0.00015056868310999122
2250,shiper,13.926386233269596,0.00019011085851187428
3262,đánh_giá,13.880318940004393,0.00019482800615486356
2863,tối,13.595908402934366,0.00022667904954257764
837,giấy,13.395445824093871,0.0002522359805012494
2470,tháng,13.341856319289398,0.00025954729513670376
2375,tai,13.213161343153818,0.00027799007724372334
847,giờ,13.19317577282245,0.00028097036374566614
1864,nhỏ,13.116561300237382,0.0002926967790059554
3066,wifi,12.578580198415239,0.00039019304504287383
3165,yếu,12.55394840274297,0.0003953700270557102
407,chờ,12.513988645042335,0.0004039163725035479
