,word,score,pvalue
809,giá,1321.3960321923491,2.532753495556498e-289
2193,rẻ,447.97085261276624,1.993959773245151e-99
2836,tầm,390.7683042431634,5.631406976933363e-87
2649,trong,169.11429457454045,1.1550912052030293e-38
1115,hợp_lý,162.42575548980724,3.3394435226711483e-37
810,giá_cả,124.74516517590503,5.786893187789749e-29
2870,tốt,123.4675474940921,1.1017356865725077e-28
2596,tiền,90.04748297879844,2.3251230059072173e-21
2534,thị_trường,62.78269802213052,2.3081762075957443e-15
1687,mức,59.8209785867993,1.038900447019812e-14
1923,nói_chung,56.68254776538528,5.121608440928036e-14
1726,ngon,55.87839305609641,7.709522907784324e-14
3437,ổn,44.027962483455696,3.237180783300688e-11
2036,phù_hợp,42.290152003603694,7.868779411968234e-11
814,giá_thành,40.79626191003057,1.6895596917239628e-10
2646,triệu,37.06541554465885,1.1423190532458716e-09
1112,hợp,36.38251737397255,1.621511846195481e-09
1555,mua,33.59939658651079,6.7713730124097115e-09
3258,đáng,33.337131618866195,7.748887249239679e-09
544,cấu_hình,33.337131618866195,7.748887249239679e-09
2795,túi_tiền,31.56472415266361,1.9290213681758318e-08
411,chụp,27.94760625337022,1.246450576413681e-07
833,giảm,27.519582663283504,1.555119289600606e-07
2214,sale,24.925407744499708,5.959184789416001e-07
586,cửa_hàng,24.925407744499708,5.959184789416001e-07
33,anker,24.925407744499708,5.959184789416001e-07
3400,đợt,24.81823741489399,6.299859239808692e-07
443,con,24.061726969344193,9.329633214187683e-07
835,giảm_giá,20.729459137891777,5.2895936511168695e-06
3275,đòi_hỏi,19.31137718277066,1.1104272005253329e-05
812,giá_như,18.741818181818182,1.4966410190692822e-05
2208,sacombank,18.741818181818182,1.4966410190692822e-05
2044,phải_chăng,18.191258686986274,1.9979373308558443e-05
262,chai,17.891631683540883,2.3384710522741156e-05
1843,nhất,17.751587822344515,2.517073252547504e-05
1728,ngoài,16.762949317659444,4.235223386586247e-05
1017,hãng,16.34705549356632,5.2738036349671336e-05
3233,điểm,16.259010943867303,5.524622049869699e-05
762,fpt,16.09647358951936,6.019602275468974e-05
1087,học,14.955244646699825,0.00011009162196913706
246,cao,14.865239718929693,0.00011547132261471904
2268,siêu,14.371038473207038,0.00015009316381458818
3340,đẹp,14.363399392003744,0.00015070335115175912
1669,một_tí,14.056363636363638,0.00017741249427760238
1886,niêm_yết,14.056363636363638,0.00017741249427760238
45,ba_mẹ,14.056363636363638,0.00017741249427760238
3414,ưu_đãi,14.056363636363638,0.00017741249427760238
2119,quê,14.056363636363638,0.00017741249427760238
2249,ship,14.042304385798937,0.00017874378003386108
1562,mà_còn,13.998581356555746,0.00018294861515166889
2291,store,13.998581356555746,0.00018294861515166889
506,công_việc,13.998581356555746,0.00018294861515166889
334,chính,13.751275819387374,0.00020867903651290086
2098,quan_trọng,13.436139838430876,0.0002468229713320741
2627,tr,13.436139838430876,0.0002468229713320741
3382,đồng_tiền,13.436139838430876,0.0002468229713320741
2400,tgdd,13.436139838430876,0.0002468229713320741
953,hiệu_năng,13.044964546512857,0.0003041009159405139
1109,hời,12.409118707446995,0.00042724244803516153
1114,hợp_lí,12.409118707446995,0.00042724244803516153
3062,web,12.333665341255562,0.0004448620535126455
1199,khác,12.321270780896992,0.0004478257204393007
589,cực,11.930619645181755,0.0005521880750434761
214,bổ,11.790048112539383,0.0005954819620981653
1806,nhu_cầu,11.715274125127877,0.000619891789626876
133,bán,11.535120562761229,0.0006829364856679657
2631,trading,10.940470331957524,0.0009408628251371205
2433,thiết_kế,10.824618307105343,0.0010015934027786425
2478,thích,10.774122834867885,0.0010292898285166933
1787,nhanh,10.710665259224113,0.0010651972199566164
287,chiều,10.635414222193594,0.0011094243187896875
1838,nhạy,10.466261914364358,0.0012157447166473783
239,camera,10.300301839700847,0.0013300845124965023
1987,oppo,10.185684386147305,0.001415351794619744
